"Story","Title","Result","Date","Stability","Duration (s)"
"As an user I want to see volunteer","I want to see volunteer page","SUCCESS","2023-06-26T08:33:33.1637502+07:00[Asia/Jakarta]","0.0","0.97"
"As an user I want to see volunteer","I want to see permintaan pengejuan on the volunteer page","SUCCESS","2023-06-26T08:33:34.1508842+07:00[Asia/Jakarta]","0.0","0.05"
"As an user I want to see volunteer","I want to see detail permintaan pengejuan on the volunteer page","SUCCESS","2023-06-26T08:33:34.213843+07:00[Asia/Jakarta]","0.0","0.05"
"As an user I want to see volunteer","I want to see list program on the volunteer page","SUCCESS","2023-06-26T08:33:34.2756059+07:00[Asia/Jakarta]","0.0","0.04"
"As an user I want to see volunteer","I want to see riwayat program on the volunteer page","SUCCESS","2023-06-26T08:33:34.3240554+07:00[Asia/Jakarta]","0.0","0.04"
