"Story","Title","Result","Date","Stability","Duration (s)"
"User be able manage customer","As user, I have be able to success login","SUCCESS","2023-06-23T00:19:22.131+07:00[Asia/Bangkok]","0.0","54.02"
"User be able manage customer","I want to see user account list","SUCCESS","2023-06-23T00:20:17.624+07:00[Asia/Bangkok]","0.0","0.03"
"User be able manage customer","I want to see user fundraising list","SUCCESS","2023-06-23T00:20:17.661+07:00[Asia/Bangkok]","0.0","0.02"
"User be able manage customer","I want to see user volunteer list","SUCCESS","2023-06-23T00:20:17.693+07:00[Asia/Bangkok]","0.0","0.03"
