"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Sociops Admin Account","Login with incorrect password","SUCCESS","2023-06-26T18:56:34.4095553+07:00[Asia/Bangkok]","0.0","5.07"
"Login to Sociops Admin Account","Login with incorrect email","SUCCESS","2023-06-26T18:56:40.1594046+07:00[Asia/Bangkok]","0.0","4.01"
"Login to Sociops Admin Account","Verify email input must be valid value","SUCCESS","2023-06-26T18:56:44.905738+07:00[Asia/Bangkok]","0.0","2.96"
"Login to Sociops Admin Account","Admin login without fill password","SUCCESS","2023-06-26T18:56:48.4990725+07:00[Asia/Bangkok]","0.0","2.67"
"Login to Sociops Admin Account","Admin login without fill email","SUCCESS","2023-06-26T18:56:51.821493+07:00[Asia/Bangkok]","0.0","3.04"
"Login to Sociops Admin Account","Admin login with email less than 2 char","SUCCESS","2023-06-26T18:56:55.4876407+07:00[Asia/Bangkok]","0.0","3.05"
"Login to Sociops Admin Account","Admin login with password less than 8 char","SUCCESS","2023-06-26T18:56:59.1667858+07:00[Asia/Bangkok]","0.0","2.83"
