"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Sociops Admin Account","Login with correct credentials","SUCCESS","2023-06-21T18:24:08.8936+07:00[Asia/Bangkok]","0.0","7.79"
"Login to Sociops Admin Account","Login with incorrect password","SUCCESS","2023-06-21T18:24:17.4091812+07:00[Asia/Bangkok]","0.0","4.25"
"Login to Sociops Admin Account","Login with incorrect email","SUCCESS","2023-06-21T18:24:22.325793+07:00[Asia/Bangkok]","0.0","3.13"
"Login to Sociops Admin Account","Verify email input must be valid value","SUCCESS","2023-06-21T18:24:26.1220278+07:00[Asia/Bangkok]","0.0","2.2"
"Login to Sociops Admin Account","Admin login without fill password","SUCCESS","2023-06-21T18:24:28.9746867+07:00[Asia/Bangkok]","0.0","2.78"
"Login to Sociops Admin Account","Admin login without fill email","SUCCESS","2023-06-21T18:24:32.3953786+07:00[Asia/Bangkok]","0.0","2.75"
"Login to Sociops Admin Account","Admin login with email less than 2 char","SUCCESS","2023-06-21T18:24:35.7880224+07:00[Asia/Bangkok]","0.0","2.95"
"Login to Sociops Admin Account","Admin login with password less than 8 char","SUCCESS","2023-06-21T18:24:39.3746831+07:00[Asia/Bangkok]","0.0","2.37"
